PROCEDIMENTO;OGGETTO;TIPOINTERVENTO;DATAINIZIOPRESUNTA;DATAFINEPRESUNTA;LISTALOCALIZZAZIONI;LONGITUDINE;LATITUDINE;Location
super DIA;variante art. 68 R.E. a w.f.12477/2014 -sostituzione di infissi ;manutenzione straordinaria art 27.1 lett. b) L.R.12/05 art. 64 R.E. non rientrante nell'elenco di cui a comma 2 art. 6 DPR 380/2001;2017-11-13T00:00:00.000+01:00;2020-11-13T00:00:00.000+01:00;PIAZZETTA PATTARI N.  4  PIANO 4-5-6;9.19393910179;45.4646312768;45.4646312768, 9.19393910179
super DIA;variante ad atti p.g. 87556/2014 - ampiamento locale fitness tramite utilizzo di una suite ;ristrutturazione mediante sostituzione edilizia totale o parziale - art 30 L.98/2013  - art. 66.3.3 R. E. ;2017-11-13T00:00:00.000+01:00;2020-11-13T00:00:00.000+01:00;PIAZZETTA PATTARI N.  4  PIANO 4-5-6;9.19393910179;45.4646312768;45.4646312768, 9.19393910179
SCIA Unica alternativa a PDC;Via Tivoli n. 4 - SCIA ristruttrazione edilizia con demolizione e ricostruzione;Ristrutturazione edilizia con demolizione e ricostruzione con la stessa s.l.p. preesistente (sostituzione edilizia) - art.3.1 lettera d) DPR 380/2001+SCIA art. 23 DPR 380/01: 1 ristrutturazione edilizia che comporti ad un organismo edilizio in tutto o in parte diverso dal precedente / che comporti modifiche della volumetria complessiva degli edifici o dei prospetti / che comporti mutamenti della destinazione d'uso per immobili compresi nelle zone omogenee A/ che comporti modificazioni della sagoma di immobili sottoposti a vincoli (Attività n. 8 - Tabella A - Sez. II del d.lgs. 222/2016 / art. 10 comma 1 - lettera c) del d.P.R. n. 380/2001);2017-11-12T00:00:00.000+01:00;2020-11-12T00:00:00.000+01:00;VIA TIVOLI N.  4;9.18359756745;45.472102297;45.472102297, 9.18359756745
SI-SCIA;via venini n. 83 - realizzazione 2 soppalchi uno in muratura e uno in legno, nuovo impianto  elettrico maggiore 6kw;SCIA Art. 22 dpr 380/01: 1 intervento di manutenzione straordinaria (pesante) di cui all'articolo 3  comma 1  lettera b) del d.P.R. n. 380/2001 che riguardino le parti strutturali dell'edificio (Attività n. 4 - Tabella A - Sez. II del d.lgs. n. 222/2016 / art. 22 comma 1 - lettera a) del d.P.R. n. 380/2001 );2017-11-12T00:00:00.000+01:00;2020-11-12T00:00:00.000+01:00;VIA VENINI GIULIO E C N.  83  PIANO terra;9.21681738406;45.4942515763;45.4942515763, 9.21681738406
SI-SCIA;VIA GASPARO DA SALO' N. 2 - Opere interne: spostamento cucina nell'attuale soggiorno e trasformazione  dell'attuale cucina in camera, formazione di cantinole nella cantina al piano  seminterrato. Opere interne ed esterne con modifiche strutturali: ampliamento vano scala e  posa nuova scala interna, apertura nuovo vano porta apertura e modifica vano  porta esistente, apertura nuovo vano finestra, consolidamento  terrazzo/copertura box e posa di scaletta esterna in carpenteria metallica.;SCIA Art. 22 dpr 380/01: 1 intervento di manutenzione straordinaria (pesante) di cui all'articolo 3  comma 1  lettera b) del d.P.R. n. 380/2001 che riguardino le parti strutturali dell'edificio (Attività n. 4 - Tabella A - Sez. II del d.lgs. n. 222/2016 / art. 22 comma 1 - lettera a) del d.P.R. n. 380/2001 );2017-11-12T00:00:00.000+01:00;2020-11-12T00:00:00.000+01:00;VIA GASPARO DA SALO' N.  2  PIANO R-S1;9.20087119608;45.4920246333;45.4920246333, 9.20087119608
SI-SCIA;CORSO ITALIA N.  49  scia a variante prog. 26107/17 X TRASFORMAZIONE  DI DUE PORTE FINESTRE IN UNICA PORTA FINESTRA SUL FRONTE INTERNO DELL'EDIFICIO VERSO IL GIARDINO++++unite scia precedenti wf. 26107.17 +  21172.17+++;SCIA Art. 22 dpr 380/01: 4 varianti in corso d'opera a PDC che non incidono su parametri urbanistici e su volumetrie / che non comportano mutamento urbanisticamente rilevante della destinazione d'uso / che non modificano la categoria edilizia / che non alterano la sagoma dell'edificio se sottoposto a vincolo / che non violano le eventuali prescrizioni contenute nel PDC / che non presentano i caratteri delle variazioni essenziali (Attività 35/36 - Tabella A - Sez. II del d.lgs. n. 222/16);2017-11-12T00:00:00.000+01:00;2020-11-12T00:00:00.000+01:00;CORSO ITALIA N.  49  PIANO 2;9.18697906904;45.4526041775;45.4526041775, 9.18697906904
SI-SCIA a sportello;via torino 66/68 - lavori di risanamento conservativo con predisposizione al futuro insediamento di un'attivita' di somministrazione alimentii  e bevande ;SCIA Art. 22 dpr 380/01: 1 intervento di manutenzione straordinaria (pesante) di cui all'articolo 3  comma 1  lettera b) del d.P.R. n. 380/2001 che riguardino le parti strutturali dell'edificio (Attività n. 4 - Tabella A - Sez. II del d.lgs. n. 222/2016 / art. 22 comma 1 - lettera a) del d.P.R. n. 380/2001 );2017-11-10T00:00:00.000+01:00;2020-11-10T00:00:00.000+01:00;VIA TORINO N.  66 / 68;9.18206516817;45.4607255855;45.4607255855, 9.18206516817
comunicazione inizio attività edilizia libera;CILA fusione via de Rolandi 1 ;;2017-11-09T00:00:00.000+01:00;2020-11-09T00:00:00.000+01:00;VIA DE ROLANDI BATTIS N.  1;9.14340059864;45.4961560154;45.4961560154, 9.14340059864
SI-SCIA;corso sempione  65 /a scia a variante wf 16133/2016  Realizzazione locale deposito rifiuti ex art 46.2 R.E. Frazionamento archivio esistente Adeguamento impianti Opere di finitura;manutenzione straordinaria con interventi finalizzati al miglioramento delle situazioni igienico-sanitarie esistenti (artt.46.2 e 46.3 R.E.);2017-11-09T00:00:00.000+01:00;2020-11-09T00:00:00.000+01:00;CORSO SEMPIONE N.  65 / A  PIANO -2;9.16022528727;45.4841718671;45.4841718671, 9.16022528727
SI-SCIA a sportello;via plebisciti 9 - scia riguardante opere interne con intervento su muratura portante;;2017-11-09T00:00:00.000+01:00;2020-11-09T00:00:00.000+01:00;CORSO PLEBISCITI N.  9;9.21902203423;45.4681783867;45.4681783867, 9.21902203423
SI-SCIA;VIA MARSALA N.  11  PIANO 2      - sostituzione CILA presentata in consiglio di zona 1 il 15/06/2017 PG  275788/2017 in quanto necessario intervento strutturale per rinforzo solette.;SCIA Art. 22 dpr 380/01: 1 intervento di manutenzione straordinaria (pesante) di cui all'articolo 3  comma 1  lettera b) del d.P.R. n. 380/2001 che riguardino le parti strutturali dell'edificio (Attività n. 4 - Tabella A - Sez. II del d.lgs. n. 222/2016 / art. 22 comma 1 - lettera a) del d.P.R. n. 380/2001 );2017-11-08T00:00:00.000+01:00;2020-11-08T00:00:00.000+01:00;VIA MARSALA N.  11  PIANO 2;9.18643386985;45.4791333751;45.4791333751, 9.18643386985
SI-SCIA a sportello;Via SOLFERINO n°35 -variante a scia prog. 16373/2016 riguardante la realizzazione di modifiche interne;SCIA Art. 22 dpr 380/01: 4 varianti in corso d'opera a PDC che non incidono su parametri urbanistici e su volumetrie / che non comportano mutamento urbanisticamente rilevante della destinazione d'uso / che non modificano la categoria edilizia / che non alterano la sagoma dell'edificio se sottoposto a vincolo / che non violano le eventuali prescrizioni contenute nel PDC / che non presentano i caratteri delle variazioni essenziali (Attività 35/36 - Tabella A - Sez. II del d.lgs. n. 222/16)+manutenzione straordinaria comportante rinnovi e/o sostituzione di parti strutturali degli edifici - art. 27.1lett.b) L.R.12/2005+manutenzione straordinaria con interventi finalizzati al miglioramento delle situazioni igienico-sanitarie esistenti (artt.46.2 e 46.3 R.E.)+restauro o risanamento conservativo di cui all'art. 27.1 lett.c) L.R. 12/2005;2017-11-07T00:00:00.000+01:00;2020-11-07T00:00:00.000+01:00;VIA SOLFERINO N.  35  PIANO 1-5;9.18849874574;45.4792274348;45.4792274348, 9.18849874574
SI-SCIA a sportello;ALZAIA NAVIGLIO GRANDE N. 4 MODIFICHE INTERNE CON CAMBIO D'USO ALLE UNITà IMMOBILIARI *****UNITA A VARIANTE N. PROG. 879718*****;;2017-11-07T00:00:00.000+01:00;2020-11-07T00:00:00.000+01:00;ALZAIA NAVIGLIO GRAND N.  4;9.17617339407;45.452201806;45.452201806, 9.17617339407
comunicazione inizio attività edilizia libera;via DEZZA, 29 - MODIFICHE INTERNE CON CAMBIO D' USO DA ABITAZIONE AD UFFICIO AL PIANO RIALZATO.;CILA 1 - interventi di manutenzione straordinaria di cui all'articolo 3 - comma 1 - lettera b) del d.P.R. n. 380/2001 ivi compresa l'apertura di porte interne o lo spostamento di pareti interne sempre che non riguardino le parti strutturali dell'edificio (Attività n. 3 - Tabella A - Sez. II - d.lgs. 25 novembre 2016 n. 222);2017-11-06T00:00:00.000+01:00;2020-11-06T00:00:00.000+01:00;VIA DEZZA GIUSEPPE N.  29;9.16166711586;45.4603624658;45.4603624658, 9.16166711586
SI-SCIA;VIA STHENDAL N. 35 - LAVORI DI MANUTENZIONE STRAORDINARIA SU UN EDIFICIO ESISTENTE;manutenzione straordinaria comportante rinnovi e/o sostituzione di parti strutturali degli edifici - art. 27.1lett.b) L.R.12/2005;2017-11-05T00:00:00.000+01:00;2020-11-05T00:00:00.000+01:00;VIA STENDHAL N.  35;9.1589962057;45.4536181406;45.4536181406, 9.1589962057
SI-SCIA a sportello;variante ad atti p.g. 582932/2016 - demolizione/costruzione di pareti tamponamento per una diversa distribuzione spazi interni  - creazione di collegamento  interno con locale sottostante - adeguamento servizio igienico p.t. - messa a norma imp.elettrico - condizionamento cambio d'olio da abitazione ad ufficio privato ***unita scia antecedente wf 5012/2017***UNITA A SCIA VAR. W.F. 36776/2017***;manutenzione straordinaria comportante rinnovi e/o sostituzione di parti strutturali degli edifici - art. 27.1lett.b) L.R.12/2005+manutenzione straordinaria con variazione della destinazione d'uso;2017-11-04T00:00:00.000+01:00;2020-11-04T00:00:00.000+01:00;VIA BATTAGLIA NATALE N.  25;9.21440349662;45.4892880857;45.4892880857, 9.21440349662
SI-SCIA;via bordighera  12  Cambio di destinazione d'uso con opere. Modifica della distribuzione interna  degli spazi mediano demolizione e ricostruzione di tavolati interni NON  portanti. realizzazione di nuovo bagno.;manutenzione straordinaria con variazione della destinazione d'uso;2017-11-04T00:00:00.000+01:00;2020-11-04T00:00:00.000+01:00;VIA BORDIGHERA N.  12  PIANO primo;9.17371067301;45.4421213563;45.4421213563, 9.17371067301
SI-SCIA;via merula n. 6 - Segnalazione certificata di inizio attività per opere interne di straordinaria manutenzione a suddivisione spazi commerciali al piano terra ed al piano seminterrato con cambio di destianzione d'uso da commerciale a residenziale al Piano terra, con locali accessori al piano seminterrato ;manutenzione straordinaria con variazione della destinazione d'uso;2017-11-04T00:00:00.000+01:00;2020-11-04T00:00:00.000+01:00;VIA MERULA GIORGIO N.  2;9.12817619094;45.4403027309;45.4403027309, 9.12817619094
SI-SCIA a sportello;via veglia 49 - fusione di due appartamenti con costruzione scala di spostamento tavolati interni - ****UNITA A VARIANTE N. PROG. 1590217****;manutenzione straordinaria comportante rinnovi e/o sostituzione di parti strutturali degli edifici - art. 27.1lett.b) L.R.12/2005;2017-11-04T00:00:00.000+01:00;2020-11-04T00:00:00.000+01:00;VIA VEGLIA N.  49;9.19430641804;45.4988683312;45.4988683312, 9.19430641804
super DIA;VARIANTE ESSENZIALE PER EFFICIENTAMENTO ENERGETICO DELLIMMOBILE CON UTILIZZO  DELLA QUOTA DI S.L.P. DIFFERENZIALE AD USO COMMERCIALE AL PIANO INTERRATO (S1)  E PASSAGGIO DA ART. 13.2.b A 13.2. c ,  REALIZZAIZONE DI UN LOCALE TECNICO  INTERRATO A QUOTA S2 E S3 E UN DI UN DEPOSITO RIFIUTI A QUOTA S1.;Ristrutturazione edilizia con demolizione e ricostruzione con la stessa s.l.p. preesistente (sostituzione edilizia) - art.3.1 lettera d) DPR 380/2001;2017-11-03T00:00:00.000+01:00;2020-11-03T00:00:00.000+01:00;VIA FIORI CHIARI N.  17  PIANO T, S1;9.18483493763;45.471823219;45.471823219, 9.18483493763
SI-SCIA a sportello;fusione tra sub 28 e sub 712 tramite apertura di porta interna. opere di manutenzione straordinaria atti a ottenere una diversa distribuzione degli spazi interni***unita a variante wf 26119/17***;manutenzione straordinaria comportante rinnovi e/o sostituzione di parti strutturali degli edifici - art. 27.1lett.b) L.R.12/2005;2017-11-01T00:00:00.000+01:00;2020-11-01T00:00:00.000+01:00;VIALE GRAN SASSO N.  27;9.22083691833;45.4820591605;45.4820591605, 9.22083691833
SI-SCIA a sportello;via benedetto marcello n. 38 - rinforzo strutturale e attraverso inserimento di putrella in accaio come meglio esplicitato nelle rel.srtrutturale - ;manutenzione straordinaria comportante rinnovi e/o sostituzione di parti strutturali degli edifici - art. 27.1lett.b) L.R.12/2005;2017-11-01T00:00:00.000+01:00;2020-11-01T00:00:00.000+01:00;VIA MARCELLO BENEDETT N.  38;9.20995341819;45.4823273383;45.4823273383, 9.20995341819
SI-SCIA;via caldara  7  FRAZIONAMENTO DI UN' U.I. A DESTINAZIONE MAGAZZINO IN DUE U.I. OPERE INTERNE E MODIFICHE AL PROSPETTO INTERNO DELL'EDIFICIO;manutenzione straordinaria comportante rinnovi e/o sostituzione di parti strutturali degli edifici - art. 27.1lett.b) L.R.12/2005;2017-11-01T00:00:00.000+01:00;2020-11-01T00:00:00.000+01:00;VLE CALDARA EMILIO N.  7  PIANO S1;9.20202615767;45.453244287;45.453244287, 9.20202615767
SI-SCIA a sportello;via vincenzo monti n. 33 - demolizione di soletta- creazione di soppalco- demolizione di tavolati interni;manutenzione straordinaria comportante rinnovi e/o sostituzione di parti strutturali degli edifici - art. 27.1lett.b) L.R.12/2005;2017-11-01T00:00:00.000+01:00;2020-11-01T00:00:00.000+01:00;VIA MONTI VINCENZO N.  33;9.17083531221;45.4694591076;45.4694591076, 9.17083531221
SI-SCIA a sportello;via pergolesi giovanni n. 9 - cambio di destinazione d' uso da ufficio ad appartamento ed apertura vano di collegamento tra soggiorno e camera;manutenzione straordinaria con variazione della destinazione d'uso;2017-11-01T00:00:00.000+01:00;2020-11-01T00:00:00.000+01:00;VIA PERGOLESI GIOVANN N.  9;9.21215136983;45.4839768099;45.4839768099, 9.21215136983
SI-SCIA Unica;ripa di porta ticinese n. 69 - manutenzione straordinaria;SCIA Art. 22 dpr 380/01: 1 intervento di manutenzione straordinaria (pesante) di cui all'articolo 3  comma 1  lettera b) del d.P.R. n. 380/2001 che riguardino le parti strutturali dell'edificio (Attività n. 4 - Tabella A - Sez. II del d.lgs. n. 222/2016 / art. 22 comma 1 - lettera a) del d.P.R. n. 380/2001 );2017-10-31T00:00:00.000+01:00;2020-10-31T00:00:00.000+01:00;RIPA DI PORTA TICINES N.  69;9.16940278844;45.4504562783;45.4504562783, 9.16940278844
SI-SCIA;viale monza n. 38 - scia a variante prog. 11382/2017 riguardante ridistribuzione interna.;SCIA Art. 22 dpr 380/01: 4 varianti in corso d'opera a PDC che non incidono su parametri urbanistici e su volumetrie / che non comportano mutamento urbanisticamente rilevante della destinazione d'uso / che non modificano la categoria edilizia / che non alterano la sagoma dell'edificio se sottoposto a vincolo / che non violano le eventuali prescrizioni contenute nel PDC / che non presentano i caratteri delle variazioni essenziali (Attività 35/36 - Tabella A - Sez. II del d.lgs. n. 222/16);2017-10-31T00:00:00.000+01:00;2020-10-31T00:00:00.000+01:00;VIALE MONZA N.  38  PIANO 1;9.21857364818;45.4917190625;45.4917190625, 9.21857364818
SI-SCIA;corso san gottardo  22  Lavori di manutenzione straordinaria comportante rinforzo strutturale dei solai  esistenti;manutenzione straordinaria comportante rinnovi e/o sostituzione di parti strutturali degli edifici - art. 27.1lett.b) L.R.12/2005;2017-10-31T00:00:00.000+01:00;2020-10-31T00:00:00.000+01:00;CORSO SAN GOTTARDO N.  22  PIANO 3 - 4;9.17973630114;45.4497978387;45.4497978387, 9.17973630114
comunicazione inizio attività edilizia libera;VIA MUZIO 10- INSTALLAZIONE INFERRIATE DI SICUREZZA;;2017-10-31T00:00:00.000+01:00;2020-10-31T00:00:00.000+01:00;VIA MUZIO EMANUELE N.  10;9.20039265299;45.4909347334;45.4909347334, 9.20039265299
SI-SCIA;"via lulli giovanni n. 19 - Fusione unità immobiliari; realizzazione scala; costruzione e demolizioni parti  solaio; costruzione e demolizioni tavolati; rifacimenti pavimenti, infissi  interni ed esterni - * UNITA  a var  WF 23189/2018* - ";SCIA Art. 22 dpr 380/01: 1 intervento di manutenzione straordinaria (pesante) di cui all'articolo 3  comma 1  lettera b) del d.P.R. n. 380/2001 che riguardino le parti strutturali dell'edificio (Attività n. 4 - Tabella A - Sez. II del d.lgs. n. 222/2016 / art. 22 comma 1 - lettera a) del d.P.R. n. 380/2001 );2017-10-30T00:00:00.000+01:00;2020-10-30T00:00:00.000+01:00;VIA LULLI GIOVANNI N.  19  PIANO T-S;9.22101324132;45.4852734938;45.4852734938, 9.22101324132
SI-SCIA;CORSO ITALIA N.  1    pt  - manutenzione straordinaria;SCIA Art. 22 dpr 380/01: 1 intervento di manutenzione straordinaria (pesante) di cui all'articolo 3  comma 1  lettera b) del d.P.R. n. 380/2001 che riguardino le parti strutturali dell'edificio (Attività n. 4 - Tabella A - Sez. II del d.lgs. n. 222/2016 / art. 22 comma 1 - lettera a) del d.P.R. n. 380/2001 );2017-10-30T00:00:00.000+01:00;2020-10-30T00:00:00.000+01:00;CORSO ITALIA N.  1;9.18835252877;45.4600979629;45.4600979629, 9.18835252877
SI-SCIA;via bonnet n. 10 scia in variante a prog. 14639/2017 riguardante la realizzazione di opere interne ed esterne-unita a var wf 9604/18;SCIA Art. 22 dpr 380/01: 4 varianti in corso d'opera a PDC che non incidono su parametri urbanistici e su volumetrie / che non comportano mutamento urbanisticamente rilevante della destinazione d'uso / che non modificano la categoria edilizia / che non alterano la sagoma dell'edificio se sottoposto a vincolo / che non violano le eventuali prescrizioni contenute nel PDC / che non presentano i caratteri delle variazioni essenziali (Attività 35/36 - Tabella A - Sez. II del d.lgs. n. 222/16);2017-10-30T00:00:00.000+01:00;2020-10-30T00:00:00.000+01:00;VIA BONNET NINO N.  10;9.18538557064;45.4826475444;45.4826475444, 9.18538557064
comunicazione inizio attività edilizia libera;VIA FRA' PAMPURI, 1 - CILA A SANATORIA CON OPERE DA ESEGUIRE in sostituzione di cila zonale WF 17939/17-  opere atte a rendere conforme al R.E. il soppalco esistente;CILA 1 - interventi di manutenzione straordinaria di cui all'articolo 3 - comma 1 - lettera b) del d.P.R. n. 380/2001 ivi compresa l'apertura di porte interne o lo spostamento di pareti interne sempre che non riguardino le parti strutturali dell'edificio (Attività n. 3 - Tabella A - Sez. II - d.lgs. 25 novembre 2016 n. 222);2017-10-28T00:00:00.000+02:00;2020-10-28T00:00:00.000+01:00;VIA PAMPURI FRA RICCA N.  1;9.2030569067;45.4250487755;45.4250487755, 9.2030569067
SI-SCIA;via salasco n. 40 - MANUTENZIONE STRAORDINARIA INTERNA. ACCORPAMENTO DI DUE UNITA' IMMOBILIARI  ATTRAVERSO LA REALIZZAZIONE DI UNA SCALA INTERNA.;SCIA Art. 22 dpr 380/01: 1 intervento di manutenzione straordinaria (pesante) di cui all'articolo 3  comma 1  lettera b) del d.P.R. n. 380/2001 che riguardino le parti strutturali dell'edificio (Attività n. 4 - Tabella A - Sez. II del d.lgs. n. 222/2016 / art. 22 comma 1 - lettera a) del d.P.R. n. 380/2001 );2017-10-26T00:00:00.000+02:00;2020-10-26T00:00:00.000+01:00;VIA SALASCO N.  40  PIANO 4/5;9.1966864921;45.4506073784;45.4506073784, 9.1966864921
SI-SCIA;VIA ARIBERTO N.  1 INTERNO 20  PIANO 2     - apertura porta cm 106x231 in muro cls cm 10;SCIA Art. 22 dpr 380/01: 1 intervento di manutenzione straordinaria (pesante) di cui all'articolo 3  comma 1  lettera b) del d.P.R. n. 380/2001 che riguardino le parti strutturali dell'edificio (Attività n. 4 - Tabella A - Sez. II del d.lgs. n. 222/2016 / art. 22 comma 1 - lettera a) del d.P.R. n. 380/2001 );2017-10-26T00:00:00.000+02:00;2020-10-26T00:00:00.000+01:00;VIA ARIBERTO N.  1 INTERNO 20  PIANO 2;9.17509018282;45.4574307547;45.4574307547, 9.17509018282
